Company Names,Cars Names,Engines,CC/Battery Capacity (cc),HorsePower (hp),Total Speed (km/h),Performance 0-100 (sec),Cars Prices (USD),Fuel Types,Seats,Torque (Nm)
VOLKSWAGEN,ARTEON 4MOTION,2.0L TURBO I4,1984.0,190.0,250.0,5.6,48000.0,PETROL,5,350.0
VOLKSWAGEN,ID.4 GTX,ELECTRIC AWD,77.0,299.0,180.0,6.2,50000.0,ELECTRIC,5,460.0
VOLKSWAGEN,ID.3 PRO,ELECTRIC,58.0,204.0,160.0,7.3,35000.0,ELECTRIC,5,310.0
VOLKSWAGEN,GOLF VARIANT,1.5L TURBO I4 / 2.0L DIESEL I4,1498.0,130.0,220.0,7.5,32000.0,PETROL,5,320.0
VOLKSWAGEN,CRAFTER,2.0L TURBO DIESEL I4,1968.0,102.0,160.0,13.0,40000.0,DIESEL,3,410.0
VOLKSWAGEN,LUPO,1.4L I3 GAS / 1.2L DIESEL I3,1390.0,60.0,170.0,14.3,15000.0,PETROL,4,120.0
VOLKSWAGEN,CORRADO,2.9L VR6,2861.0,190.0,235.0,6.4,25000.0,PETROL,4,245.0
VOLKSWAGEN,PHAETON,3.0L V6 DIESEL / 6.0L W12 GAS,2967.0,240.0,250.0,6.1,85000.0,PETROL,5,560.0
VOLKSWAGEN,GOLF CABRIOLET,1.2L I4 TURBO / 2.0L I4 TURBO,1197.0,105.0,217.0,8.4,30000.0,PETROL,4,200.0
VOLKSWAGEN,SANTANA,1.5L I4 GAS,1498.0,110.0,190.0,12.9,15000.0,PETROL,5,145.0
VOLKSWAGEN,POLO VIVO,1.4L I4 GAS / 1.6L I4 GAS,1390.0,85.0,170.0,10.8,14000.0,PETROL,5,132.0
VOLKSWAGEN,KARMANN GHIA,1.2L I4 GAS,1192.0,34.0,138.0,23.0,25000.0,PETROL,2,106.0
VOLKSWAGEN,FOX,1.2L I4 GAS / 1.4L I4 GAS,1198.0,55.0,148.0,17.5,12000.0,PETROL,5,93.0
VOLKSWAGEN,VENTO,1.6L I4 GAS / DIESEL,1598.0,105.0,186.0,11.7,18000.0,PETROL,5,153.0
VOLKSWAGEN,GOLF ELECTRIC,ELECTRIC,35.8,136.0,140.0,10.4,33000.0,ELECTRIC,5,290.0
VOLKSWAGEN,BORA,1.6L I4 GAS / 1.9L I4 DIESEL,1598.0,100.0,200.0,9.4,20000.0,PETROL,5,220.0
VOLKSWAGEN,TERAMONT,2.0L I4 TURBO / 3.6L V6 GAS,1984.0,235.0,190.0,8.6,32000.0,PETROL,7,350.0
VOLKSWAGEN,TAOS,1.5L I4 TURBO,1498.0,158.0,193.0,8.4,24000.0,PETROL,5,250.0
VOLKSWAGEN,UP! CABRIOLET,1.0L I3 TURBO,999.0,82.0,160.0,12.4,18000.0,PETROL,4,95.0
VOLKSWAGEN,T-ROC CABRIOLET,1.0L I3 TURBO / 1.5L I4 TURBO,999.0,115.0,205.0,9.6,35000.0,PETROL,4,250.0
VOLKSWAGEN,PASSAT CC,2.0L I4 TURBO,1984.0,200.0,240.0,7.3,40000.0,PETROL,5,280.0
VOLKSWAGEN,TRANSPORTER,2.0L I4 TURBO DIESEL,1968.0,102.0,180.0,12.2,35000.0,DIESEL,9,340.0
